Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:47:20,4.8800,1.9905,6.8986,1.4712,61.66,62.01,801
0day00:47:30,4.8800,1.9904,6.9255,1.4767,61.90,62.25,806
0day00:47:40,4.8790,1.9903,6.9525,1.4822,62.14,62.48,810
0day00:47:50,4.8790,1.9899,6.9795,1.4877,62.38,62.71,805
0day00:48:00,4.8790,1.9901,7.0065,1.4933,62.62,62.94,807
0day00:48:10,4.8780,1.9912,7.0334,1.4988,62.86,63.18,813
0day00:48:20,4.8790,1.9901,7.0604,1.5043,63.10,63.41,815
0day00:48:30,4.8790,1.9901,7.0874,1.5099,63.34,63.64,817
0day00:48:40,4.8790,1.9899,7.1144,1.5154,63.58,63.88,827
0day00:48:50,4.8790,1.9900,7.1413,1.5209,63.82,64.11,836
0day00:49:00,4.8790,1.9900,7.1683,1.5264,64.07,64.34,831
0day00:49:10,4.8740,1.9900,7.1952,1.5320,64.31,64.58,840
0day00:49:20,2.6380,0.8896,7.2018,1.5344,64.37,64.68,175.0
0day00:49:30,2.6070,0.7908,7.2075,1.5366,64.42,64.77,138.7
0day00:49:40,2.5820,0.6977,7.2125,1.5386,64.46,64.85,128.1
0day00:49:50,2.5730,0.6690,7.2173,1.5404,64.50,64.93,122.5
0day00:50:00,2.5750,0.6747,7.2221,1.5423,64.55,65.01,121.5
0day00:50:10,2.5940,0.7352,7.2274,1.5443,64.59,65.10,125.2
0day00:50:20,2.6250,0.8999,7.2340,1.5468,64.65,65.20,135.1
0day00:50:30,2.6360,0.9674,7.2410,1.5495,64.72,65.32,164.5
0day00:50:40,4.8840,1.9885,7.2680,1.5551,64.96,65.55,281
0day00:50:50,4.8890,1.9897,7.2950,1.5606,65.20,65.78,845
0day00:51:00,4.8880,1.9896,7.3220,1.5661,65.44,66.02,851
0day00:51:10,4.8870,1.9901,7.3491,1.5716,65.68,66.25,831
